Area_Name,Year,,Sub_Group_Name,PT_1_3_Years,PT_3_5_Years,PT_5_10_Years,PT_6_12_Months,PT_Less_than_6_Months,,PT_Total
Andaman & Nicobar Islands,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),38,32,60,14,8,13,127
Andhra Pradesh,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),38652,21040,5992,29616,13654,1411,71713
Arunachal Pradesh,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),317,238,23,212,14,10,497
Assam,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),4752,3699,2141,2571,1115,740,10266
Bihar,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),12966,16475,13266,3461,1667,4898,39767
Chandigarh,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),457,400,412,308,250,38,1408
Chhattisgarh,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),8631,5852,2612,7983,7928,1016,25391
Dadra & Nagar Haveli,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),40,29,25,19,13,5,91
Daman & Diu,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),42,29,36,7,6,9,87
Delhi,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),6627,6633,2401,2075,1163,742,13014
Goa,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),763,249,65,243,100,6,663
Gujarat,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),17871,11642,6233,10686,7913,882,37356
Haryana,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),11895,8056,2965,6219,3200,271,20711
Himachal Pradesh,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),1832,1244,755,838,477,169,3483
Jammu & Kashmir,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),2208,1969,1348,1650,1799,654,7420
Jharkhand,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),8803,7405,4610,3880,121,1767,17783
Karnataka,2010,PT8. Total of Courts,8. Total Trials (Sum of 1-7 Above),23415,13648,5301,15028,16024,1068,51069
